RegionsCode,Regions,MethodCode,Method used to travel to workplace,AgeCode,AgeRange,Observation
E12000001,North East,1,Work mainly at or from home,1,Aged 16 to 24 years,5229
E12000001,North East,1,Work mainly at or from home,2,Aged 25 to 34 years,12842
E12000001,North East,1,Work mainly at or from home,3,Aged 35 to 49 years,35668
E12000001,North East,1,Work mainly at or from home,4,Aged 50 to 64 years,32961
E12000001,North East,1,Work mainly at or from home,5,Aged 65 years and over,5632
E12000001,North East,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",1,Aged 16 to 24 years,33443
E12000001,North East,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",2,Aged 25 to 34 years,32834
E12000001,North East,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",3,Aged 35 to 49 years,40893
E12000001,North East,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",4,Aged 50 to 64 years,32214
E12000001,North East,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",5,Aged 65 years and over,2315
E12000001,North East,3,Driving a car or van,1,Aged 16 to 24 years,63058
E12000001,North East,3,Driving a car or van,2,Aged 25 to 34 years,140080
E12000001,North East,3,Driving a car or van,3,Aged 35 to 49 years,267591
E12000001,North East,3,Driving a car or van,4,Aged 50 to 64 years,181649
E12000001,North East,3,Driving a car or van,5,Aged 65 years and over,11612
E12000001,North East,4,Bicycle,1,Aged 16 to 24 years,2541
E12000001,North East,4,Bicycle,2,Aged 25 to 34 years,4433
E12000001,North East,4,Bicycle,3,Aged 35 to 49 years,8312
E12000001,North East,4,Bicycle,4,Aged 50 to 64 years,4167
E12000001,North East,4,Bicycle,5,Aged 65 years and over,184
E12000001,North East,5,On foot,1,Aged 16 to 24 years,22641
E12000001,North East,5,On foot,2,Aged 25 to 34 years,21667
E12000001,North East,5,On foot,3,Aged 35 to 49 years,35879
E12000001,North East,5,On foot,4,Aged 50 to 64 years,28706
E12000001,North East,5,On foot,5,Aged 65 years and over,2229
E12000001,North East,6,All other methods of travel,1,Aged 16 to 24 years,21988
E12000001,North East,6,All other methods of travel,2,Aged 25 to 34 years,20302
E12000001,North East,6,All other methods of travel,3,Aged 35 to 49 years,27936
E12000001,North East,6,All other methods of travel,4,Aged 50 to 64 years,23282
E12000001,North East,6,All other methods of travel,5,Aged 65 years and over,1729
E12000002,North West,1,Work mainly at or from home,1,Aged 16 to 24 years,15645
E12000002,North West,1,Work mainly at or from home,2,Aged 25 to 34 years,41153
E12000002,North West,1,Work mainly at or from home,3,Aged 35 to 49 years,114242
E12000002,North West,1,Work mainly at or from home,4,Aged 50 to 64 years,100145
E12000002,North West,1,Work mainly at or from home,5,Aged 65 years and over,19796
E12000002,North West,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",1,Aged 16 to 24 years,93175
E12000002,North West,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",2,Aged 25 to 34 years,96639
E12000002,North West,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",3,Aged 35 to 49 years,101802
E12000002,North West,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",4,Aged 50 to 64 years,70428
E12000002,North West,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",5,Aged 65 years and over,6632
E12000002,North West,3,Driving a car or van,1,Aged 16 to 24 years,169991
E12000002,North West,3,Driving a car or van,2,Aged 25 to 34 years,409944
E12000002,North West,3,Driving a car or van,3,Aged 35 to 49 years,782343
E12000002,North West,3,Driving a car or van,4,Aged 50 to 64 years,517740
E12000002,North West,3,Driving a car or van,5,Aged 65 years and over,43865
E12000002,North West,4,Bicycle,1,Aged 16 to 24 years,9359
E12000002,North West,4,Bicycle,2,Aged 25 to 34 years,16221
E12000002,North West,4,Bicycle,3,Aged 35 to 49 years,27673
E12000002,North West,4,Bicycle,4,Aged 50 to 64 years,14557
E12000002,North West,4,Bicycle,5,Aged 65 years and over,1013
E12000002,North West,5,On foot,1,Aged 16 to 24 years,73780
E12000002,North West,5,On foot,2,Aged 25 to 34 years,72719
E12000002,North West,5,On foot,3,Aged 35 to 49 years,97513
E12000002,North West,5,On foot,4,Aged 50 to 64 years,72033
E12000002,North West,5,On foot,5,Aged 65 years and over,7349
E12000002,North West,6,All other methods of travel,1,Aged 16 to 24 years,68379
E12000002,North West,6,All other methods of travel,2,Aged 25 to 34 years,53656
E12000002,North West,6,All other methods of travel,3,Aged 35 to 49 years,67835
