Regions Code,Regions,Method Code,Method used to travel to workplace,Age Code,Age Range,Observation
E12000001,North East,1,Work mainly at or from home,1,Aged 16 to 24 years,19904
E12000001,North East,1,Work mainly at or from home,2,Aged 25 to 34 years,61264
E12000001,North East,1,Work mainly at or from home,3,Aged 35 to 49 years,104325
E12000001,North East,1,Work mainly at or from home,4,Aged 50 to 64 years,84101
E12000001,North East,1,Work mainly at or from home,5,Aged 65 years and over,12578
E12000001,North East,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",1,Aged 16 to 24 years,13672
E12000001,North East,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",2,Aged 25 to 34 years,17025
E12000001,North East,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",3,Aged 35 to 49 years,18528
E12000001,North East,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",4,Aged 50 to 64 years,20052
E12000001,North East,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",5,Aged 65 years and over,2771
E12000001,North East,3,Taxi,1,Aged 16 to 24 years,2116
E12000001,North East,3,Taxi,2,Aged 25 to 34 years,2800
E12000001,North East,3,Taxi,3,Aged 35 to 49 years,3005
E12000001,North East,3,Taxi,4,Aged 50 to 64 years,3456
E12000001,North East,3,Taxi,5,Aged 65 years and over,496
E12000001,North East,4,"Motorcycle, scooter or moped",1,Aged 16 to 24 years,406
E12000001,North East,4,"Motorcycle, scooter or moped",2,Aged 25 to 34 years,587
E12000001,North East,4,"Motorcycle, scooter or moped",3,Aged 35 to 49 years,749
E12000001,North East,4,"Motorcycle, scooter or moped",4,Aged 50 to 64 years,956
E12000001,North East,4,"Motorcycle, scooter or moped",5,Aged 65 years and over,64
E12000001,North East,5,Driving a car or van,1,Aged 16 to 24 years,65980
E12000001,North East,5,Driving a car or van,2,Aged 25 to 34 years,141187
E12000001,North East,5,Driving a car or van,3,Aged 35 to 49 years,208872
E12000001,North East,5,Driving a car or van,4,Aged 50 to 64 years,211942
E12000001,North East,5,Driving a car or van,5,Aged 65 years and over,22562
E12000001,North East,6,Bicycle,1,Aged 16 to 24 years,1996
E12000001,North East,6,Bicycle,2,Aged 25 to 34 years,3537
E12000001,North East,6,Bicycle,3,Aged 35 to 49 years,5256
E12000001,North East,6,Bicycle,4,Aged 50 to 64 years,4914
E12000001,North East,6,Bicycle,5,Aged 65 years and over,388
E12000001,North East,7,On foot,1,Aged 16 to 24 years,14254
E12000001,North East,7,On foot,2,Aged 25 to 34 years,18700
E12000001,North East,7,On foot,3,Aged 35 to 49 years,24280
E12000001,North East,7,On foot,4,Aged 50 to 64 years,27286
E12000001,North East,7,On foot,5,Aged 65 years and over,3571
E12000001,North East,8,Other method of travel to work,1,Aged 16 to 24 years,1671
E12000001,North East,8,Other method of travel to work,2,Aged 25 to 34 years,2890
E12000001,North East,8,Other method of travel to work,3,Aged 35 to 49 years,4716
E12000001,North East,8,Other method of travel to work,4,Aged 50 to 64 years,4418
E12000001,North East,8,Other method of travel to work,5,Aged 65 years and over,781
E12000002,North West,1,Work mainly at or from home,1,Aged 16 to 24 years,63943
E12000002,North West,1,Work mainly at or from home,2,Aged 25 to 34 years,213569
E12000002,North West,1,Work mainly at or from home,3,Aged 35 to 49 years,330570
E12000002,North West,1,Work mainly at or from home,4,Aged 50 to 64 years,264979
E12000002,North West,1,Work mainly at or from home,5,Aged 65 years and over,40768
E12000002,North West,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",1,Aged 16 to 24 years,44315
E12000002,North West,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",2,Aged 25 to 34 years,53992
