Regions Code,Regions,Social Grade,Population
E12000001,North East,AB Higher and intermediate managerial/administrative/professional occupations,140177
E12000001,North East,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",260977
E12000001,North East,C2 Skilled manual occupations,170622
E12000001,North East,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,243225
E12000002,North West,AB Higher and intermediate managerial/administrative/professional occupations,439010
E12000002,North West,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",740763
E12000002,North West,C2 Skilled manual occupations,447713
E12000002,North West,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,611510
E12000003,Yorkshire and The Humber,AB Higher and intermediate managerial/administrative/professional occupations,309493
E12000003,Yorkshire and The Humber,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",533742
E12000003,Yorkshire and The Humber,C2 Skilled manual occupations,358074
E12000003,Yorkshire and The Humber,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,448417
E12000004,East Midlands,AB Higher and intermediate managerial/administrative/professional occupations,280002
E12000004,East Midlands,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",477165
E12000004,East Midlands,C2 Skilled manual occupations,318586
E12000004,East Midlands,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,350745
E12000005,West Midlands,AB Higher and intermediate managerial/administrative/professional occupations,326706
E12000005,West Midlands,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",548920
E12000005,West Midlands,C2 Skilled manual occupations,364156
E12000005,West Midlands,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,469318
E12000006,East,AB Higher and intermediate managerial/administrative/professional occupations,425697
E12000006,East,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",632089
E12000006,East,C2 Skilled manual occupations,386300
E12000006,East,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,385356
E12000007,London,AB Higher and intermediate managerial/administrative/professional occupations,824053
E12000007,London,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",874805
E12000007,London,C2 Skilled manual occupations,415414
E12000007,London,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,628077
E12000008,South East,AB Higher and intermediate managerial/administrative/professional occupations,715953
E12000008,South East,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",925536
E12000008,South East,C2 Skilled manual occupations,513505
E12000008,South East,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,500687
E12000009,South West,AB Higher and intermediate managerial/administrative/professional occupations,369310
E12000009,South West,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",555615
E12000009,South West,C2 Skilled manual occupations,364109
E12000009,South West,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,342735
W92000004,Wales,AB Higher and intermediate managerial/administrative/professional occupations,170568
W92000004,Wales,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",298421
W92000004,Wales,C2 Skilled manual occupations,196329
W92000004,Wales,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,245780
