Regions Code,Regions,Social Grade,Population
E12000001,North East,AB Higher and intermediate managerial/administrative/professional occupations,279845
E12000001,North East,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",491373
E12000001,North East,C2 Skilled manual occupations,383524
E12000001,North East,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,502939
E12000002,North West,AB Higher and intermediate managerial/administrative/professional occupations,881448
E12000002,North West,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",1340282
E12000002,North West,C2 Skilled manual occupations,981972
E12000002,North West,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,1276986
E12000003,Yorkshire and The Humber,AB Higher and intermediate managerial/administrative/professional occupations,629547
E12000003,Yorkshire and The Humber,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",976118
E12000003,Yorkshire and The Humber,C2 Skilled manual occupations,783195
E12000003,Yorkshire and The Humber,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,958726
E12000004,East Midlands,AB Higher and intermediate managerial/administrative/professional occupations,573044
E12000004,East Midlands,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",833114
E12000004,East Midlands,C2 Skilled manual occupations,679622
E12000004,East Midlands,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,776358
E12000005,West Midlands,AB Higher and intermediate managerial/administrative/professional occupations,680639
E12000005,West Midlands,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",988180
E12000005,West Midlands,C2 Skilled manual occupations,829785
E12000005,West Midlands,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,1005434
E12000006,East,AB Higher and intermediate managerial/administrative/professional occupations,867740
E12000006,East,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",1126315
E12000006,East,C2 Skilled manual occupations,850318
E12000006,East,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,810036
E12000007,London,AB Higher and intermediate managerial/administrative/professional occupations,1588077
E12000007,London,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",1768977
E12000007,London,C2 Skilled manual occupations,940395
E12000007,London,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,1276345
E12000008,South East,AB Higher and intermediate managerial/administrative/professional occupations,1490118
E12000008,South East,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",1717593
E12000008,South East,C2 Skilled manual occupations,1151929
E12000008,South East,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,1037302
E12000009,South West,AB Higher and intermediate managerial/administrative/professional occupations,747144
E12000009,South West,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",996087
E12000009,South West,C2 Skilled manual occupations,795829
E12000009,South West,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,718012
W92000004,Wales,AB Higher and intermediate managerial/administrative/professional occupations,344017
W92000004,Wales,"C1 Supervisory, clerical and junior managerial/administrative/professional occupations",558005
W92000004,Wales,C2 Skilled manual occupations,469407
W92000004,Wales,DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations,541735
